outcome,mean,sd,n,time.point,variable
Meaningful emp region,6.013495024875621,1.7080576259108189,4824,after.ed.4,avg.unemp.rate
Meaningful emp MN,5.969323101141283,1.707261906713213,1694,after.ed.4,avg.unemp.rate
Not meaningful_in_only,5.925103156016505,1.711165199326188,2989,after.ed.4,avg.unemp.rate
Not meaningful - other,5.846382912379171,1.6815008728498955,2138,after.ed.4,avg.unemp.rate
No MN emp record,5.684724566186334,1.641968578039701,7703,after.ed.4,avg.unemp.rate
Meaningful emp region,0.8317806239966709,0.09442497416262348,4824,after.ed.4,avg.wages.pct.state
Meaningful emp MN,0.8320456833827877,0.10052889822987021,1694,after.ed.4,avg.wages.pct.state
Not meaningful_in_only,0.8263826366882367,0.09334604638277758,2989,after.ed.4,avg.wages.pct.state
Not meaningful - other,0.8282698793807147,0.09633198166552237,2138,after.ed.4,avg.wages.pct.state
No MN emp record,0.8258921853674263,0.08997097947987076,7703,after.ed.4,avg.wages.pct.state
Meaningful emp region,5.384742951907133,3.820292323897328,4824,after.ed.4,total.cte.courses.taken
Meaningful emp MN,4.547225501770958,3.474803572861283,1694,after.ed.4,total.cte.courses.taken
Not meaningful_in_only,4.845098695215791,3.6688237856988883,2989,after.ed.4,total.cte.courses.taken
Not meaningful - other,4.429373246024322,3.3976674098366284,2138,after.ed.4,total.cte.courses.taken
No MN emp record,4.285083733610283,3.417954717885759,7703,after.ed.4,total.cte.courses.taken
Meaningful emp region,2.4747667514843084,1.0491623931173797,4716,after.ed.4,MCA.M
Meaningful emp MN,2.643843843843844,1.0589021095094957,1665,after.ed.4,MCA.M
Not meaningful_in_only,2.40923623445826,1.1038087221352453,2815,after.ed.4,MCA.M
Not meaningful - other,2.4881010199125786,1.0947481472124068,2059,after.ed.4,MCA.M
No MN emp record,2.533931988812012,1.0923513850301696,6793,after.ed.4,MCA.M
Meaningful emp region,6.01096570699953,1.7153036543498903,4967,after.ed.5,avg.unemp.rate
Meaningful emp MN,5.963198867657466,1.7803444195002522,1884,after.ed.5,avg.unemp.rate
Not meaningful_in_only,5.90578307272276,1.7053704866838197,2686,after.ed.5,avg.unemp.rate
Not meaningful - other,5.9409271752291986,1.629727193142948,1927,after.ed.5,avg.unemp.rate
No MN emp record,5.671998139692203,1.6326117519880239,7884,after.ed.5,avg.unemp.rate
Meaningful emp region,0.83101915603745,0.09477852557240936,4967,after.ed.5,avg.wages.pct.state
Meaningful emp MN,0.8338115620227547,0.09912640832506352,1884,after.ed.5,avg.wages.pct.state
Not meaningful_in_only,0.8275659108186455,0.09495310204475906,2686,after.ed.5,avg.wages.pct.state
Not meaningful - other,0.8265306707498821,0.0963793754327457,1927,after.ed.5,avg.wages.pct.state
No MN emp record,0.8257992839916267,0.08946906770865914,7884,after.ed.5,avg.wages.pct.state
Meaningful emp region,5.374672840748949,3.798799380125303,4967,after.ed.5,total.cte.courses.taken
Meaningful emp MN,4.559978768577495,3.468867868710758,1884,after.ed.5,total.cte.courses.taken
Not meaningful_in_only,4.778853313477291,3.5714906134989626,2686,after.ed.5,total.cte.courses.taken
Not meaningful - other,4.385573430202389,3.4375091006287053,1927,after.ed.5,total.cte.courses.taken
No MN emp record,4.320776255707765,3.4637675673189263,7884,after.ed.5,total.cte.courses.taken
Meaningful emp region,2.4769167353668586,1.0556963968711446,4852,after.ed.5,MCA.M
Meaningful emp MN,2.684239130434783,1.0546623319649686,1840,after.ed.5,MCA.M
Not meaningful_in_only,2.3981774960380338,1.0836645336244555,2524,after.ed.5,MCA.M
Not meaningful - other,2.4336378291241267,1.1015761610774892,1861,after.ed.5,MCA.M
No MN emp record,2.53220484865873,1.0942342704660093,6971,after.ed.5,MCA.M
